DeviceId,City,LocationName,Latitude,Longitude,ReadingDateTimeUTC,PM25,CalibratedPM25,CalibratedO3,CalibratedNO2,CO,Temperature,Humidity,BatteryLevel,PercentBattery,CellSignal,Dates,Time
2094,Chicago,Ashland & 37th (SB),41.8267,-87.6655,2022-02-28 21:38:47,250.40228271484375,32.12,16.57,26.95,0.41777676343917847,12.429885864257812,37.554931640625,4.166718482971191,87.77734375,-87.0,2022-02-28,21:38:47
2095,Chicago,Chicago & Cicero (EB),41.894893,-87.746056,2022-03-05 21:42:40,491.0426025390625,29.66,32.18,16.27,0.42378413677215576,20.7745361328125,55.88531494140625,3.792656183242798,41.0,-85.0,2022-03-05,21:42:40
2096,Chicago,100th & Torrence (WB),41.7136,-87.5602,2022-03-05 15:35:33,94.81558227539062,29.03,26.65,17.39,0.2654500901699066,19.580917358398438,37.92266845703125,4.078593730926514,79.33984375,-94.0,2022-03-05,15:35:33
2097,Chicago,Cottage Grove & 100th (NB),41.7132,-87.605,2022-03-01 18:42:16,117.23162841796875,28.19,23.37,28.87,0.31148895621299744,11.249618530273438,52.70233154296875,4.088124752044678,79.83984375,-91.0,2022-03-01,18:42:16
2098,Chicago,Irving & Clark (EB),41.954291,-87.662438,2022-02-28 21:57:47,51.324913024902344,24.93,34.64,2.15,0.06691375374794006,15.393905639648438,33.270263671875,4.020312309265137,73.03515625,-75.0,2022-02-28,21:57:47
2099,Chicago,26th & Central Park (WB),41.844493180392355,-87.71455502567271,2022-03-03 22:06:53,51.59535598754883,30.48,30.7,31.95,0.4608432650566101,2.4483489990234375,43.3197021484375,4.147655963897705,86.13671875,-66.0,2022-03-03,22:06:53
2100,Chicago,Ashland & Pershing (SB),41.823588,-87.665245,2022-02-28 23:20:27,173.1724395751953,32.12,17.34,30.8,0.426321804523468,12.1014404296875,38.568115234375,4.14968729019165,86.48828125,-76.0,2022-02-28,23:20:27
2101,Chicago,Laramie & Madison (SB),41.880092,-87.754947,2022-03-02 02:09:21,27.409223556518555,23.46,15.56,29.75,0.4946678876876831,3.0731964111328125,65.71197509765625,4.158281326293945,87.07421875,-73.0,2022-03-02,02:09:21
2102,Chicago,111th & Ellis (WB),41.69304615367332,-87.60436600881806,2022-03-03 01:00:24,37.644996643066406,27.24,22.81,23.18,0.2298673838376999,6.1974334716796875,62.28790283203125,4.062812328338623,77.83984375,-89.0,2022-03-03,01:00:24
2103,Chicago,79th & Kostner (EB),41.7491,-87.7302,2022-02-28 02:13:07,34.053077697753906,24.06,22.15,4.0,-1.8515939712524414,-0.678558349609375,56.94122314453125,4.140625,85.31640625,-85.0,2022-02-28,02:13:07
2104,Chicago,State & 31st St (NB),41.838137,-87.626522,2022-02-27 04:10:12,32.911685943603516,24.29,29.47,20.39,0.1911887526512146,-1.5250396728515625,73.16436767578125,4.082187175750732,79.58984375,-86.0,2022-02-27,04:10:12
2105,Chicago,Cottage Grove & 60th (SB),41.78594895562553,-87.60616026597778,2022-03-03 00:52:34,33.52796173095703,25.89,21.82,18.03,0.20705124735832214,5.6366729736328125,68.1365966796875,4.15359354019165,86.60546875,-77.0,2022-03-03,00:52:34
2106,Chicago,Addison & Kennedy XWay (EB),41.946406,-87.717897,2022-03-05 18:55:28,41.35121536254883,29.65,41.87,18.18,0.3874454200267792,21.14837646484375,46.81854248046875,4.166249752044678,88.21875,-90.0,2022-03-05,18:55:28
2107,Chicago,Central Park & Ogden (NB),41.854286108203816,-87.71498342854358,2022-02-28 20:06:06,129.22581481933594,27.9,31.0,14.94,0.22345340251922607,20.200424194335938,24.9114990234375,4.204062461853027,91.14453125,-110.0,2022-02-28,20:06:06
2108,Chicago,Irving Park & Kildare (EB),41.9533,-87.7354,2022-02-28 02:35:18,394.1477355957031,31.18,17.0,39.28,0.5582578182220459,-0.76934814453125,55.22613525390625,4.080625057220459,79.46484375,-75.0,2022-02-28,02:35:18
2110,Chicago,Halsted & 111th (SB),41.692519,-87.642557,2022-03-05 01:15:52,139.8483428955078,30.66,22.68,35.12,0.5970034003257751,4.9664306640625,48.846435546875,4.150156021118164,86.37109375,-84.0,2022-03-05,01:15:52
2111,Chicago,Kedzie & 24th (SB),41.8488,-87.7052,2022-02-28 10:50:22,51.6645393371582,28.15,22.54,28.88,0.4797844886779785,-1.3915252685546875,73.60382080078125,4.061718463897705,77.58984375,-93.0,2022-02-28,10:50:22
2112,Chicago,47th & Halsted (WB),41.8088,-87.6481,2022-02-27 17:13:13,64.54206085205078,24.71,36.85,15.25,0.12700848281383514,13.300399780273438,34.25445556640625,4.150468826293945,86.13671875,-86.0,2022-02-27,17:13:13
2113,Chicago,Division & Larrabee (EB),41.903627,-87.643443,2022-03-05 18:59:00,29.577238082885742,26.87,46.21,13.43,0.5396059155464172,21.591644287109375,46.58660888671875,4.216562271118164,92.0859375,-86.0,2022-03-05,18:59:00
2115,Chicago,Roosevelt & Western (WB),41.866741,-87.685757,2022-03-01 10:35:25,91.68207550048828,24.48,18.15,11.57,0.13974398374557495,6.1627197265625,58.76007080078125,4.130937576293945,84.46484375,-77.0,2022-03-01,10:35:25
2116,Chicago,Clark & 15th (NB),41.861773,-87.630143,2022-03-03 01:27:21,32.396236419677734,23.86,23.81,15.3,0.18485017120838165,6.2828826904296875,66.42913818359375,0.0,0.0,-63.0,2022-03-03,01:27:21
2118,Chicago,Cermak & Ashland (WB),41.852038,-87.666366,2022-03-01 23:40:54,55.38456726074219,27.57,19.02,23.95,0.30104705691337585,5.1239776611328125,64.93377685546875,4.151562213897705,86.48828125,-89.0,2022-03-01,23:40:54
2120,Chicago,Commercial & 85 (NB),41.7414,-87.5513,2022-03-03 01:49:53,34.96270751953125,23.49,21.58,12.12,0.1422329545021057,4.10125732421875,75.51116943359375,4.148124694824219,86.25390625,-69.0,2022-03-03,01:49:53
2121,Chicago,Sheridan & Hollywood (SB),41.985095,-87.655334,2022-03-01 15:03:19,41.18310546875,28.73,8.59,24.69,0.34210577607154846,8.552627563476562,58.8134765625,3.9884374141693115,69.84765625,-91.0,2022-03-01,15:03:19
2122,Chicago,Ashland & Blackhawk (NB),41.907237,-87.66745,2022-02-27 18:55:34,61.16044998168945,24.87,28.6,24.15,0.1542377471923828,7.2335052490234375,37.9119873046875,4.086874961853027,79.96484375,-83.0,2022-02-27,18:55:34
2123,Chicago,69th St & Bell Ave (EB),41.7683,-87.6794,2022-02-28 14:07:10,40.86011505126953,27.54,25.64,22.81,0.30785346031188965,0.0984954833984375,71.21429443359375,4.048906326293945,75.83984375,-78.0,2022-02-28,14:07:10
2124,Chicago,Halsted & 87th (SB),41.7359,-87.6437,2022-02-27 17:20:29,39.30727767944336,24.75,31.0,16.64,0.1604497730731964,9.369735717773438,40.44952392578125,4.082187175750732,79.58984375,-82.0,2022-02-27,17:20:29
2125,Chicago,Western & 41st (SB),41.81935577057992,-87.6846147423426,2022-03-04 16:22:55,40.24430847167969,27.95,36.69,29.64,0.29074347019195557,5.5832672119140625,46.14105224609375,4.117499828338623,83.08984375,-92.0,2022-03-04,16:22:55
2127,Chicago,63rd & Lamon (EB),41.7782,-87.7438,2022-02-28 11:55:12,38.79360580444336,25.73,21.52,26.88,0.3642420768737793,-2.43560791015625,80.25360107421875,4.112499713897705,82.58984375,-76.0,2022-02-28,11:55:12
2128,Chicago,Cottage Grove & 49th St (SB),41.805564,-87.606616,2022-02-28 02:41:56,170.53781127929688,29.85,11.64,32.85,0.4436909258365631,-0.4035186767578125,62.30621337890625,4.063906192779541,77.71484375,-74.0,2022-02-28,02:41:56
2129,Chicago,Lincoln & California (NWB),41.98592,-87.699628,2022-03-05 19:38:18,21.401260375976562,17.61,52.86,2.16,0.18611140549182892,25.514297485351562,40.435791015625,4.183749675750732,89.16015625,-60.0,2022-03-05,19:38:18
2130,Chicago,115th & Stewart (EB),41.68517802886724,-87.63263004842011,2022-03-02 02:19:41,79.46149444580078,26.85,21.91,21.5,0.2740405797958374,1.778106689453125,73.699951171875,4.078593730926514,79.21484375,-93.0,2022-03-02,02:19:41
2131,Chicago,Grand & Laramie (EB),41.9169,-87.756,2022-03-03 11:26:28,83.54927062988281,27.92,23.99,20.09,0.2740698754787445,-0.091094970703125,59.7442626953125,4.114687442779541,82.96484375,-87.0,2022-03-03,11:26:28
2132,Chicago,Sheridan & Irving Park (NB),41.95479,-87.65447,2022-03-04 00:35:30,71.24111938476562,24.6,29.63,18.83,0.16034317016601562,-1.586456298828125,49.2218017578125,4.18874979019165,90.1015625,-82.0,2022-03-04,00:35:30
2136,Chicago,Damen & Webster (SB),41.921581,-87.6779,2022-03-03 01:30:24,34.84459686279297,24.1,29.85,18.31,0.1578308641910553,6.3336181640625,69.39697265625,3.8173437118530273,48.16796875,0.0,2022-03-03,01:30:24
2138,Chicago,Kedzie & Lake (NB),41.8838,-87.706,2022-03-03 01:14:27,46.56178283691406,24.24,26.46,6.97,0.012880277819931507,6.3896942138671875,58.31298828125,4.112499713897705,82.71484375,-83.0,2022-03-03,01:14:27
2139,Chicago,Garfield & Aberdeen (WB),41.794492874333386,-87.65276974912231,2022-03-05 15:22:52,208.60968017578125,25.72,29.89,17.44,0.17773906886577606,19.038848876953125,36.1968994140625,4.149374961853027,86.48828125,-96.0,2022-03-05,15:22:52
2142,Chicago,"Polk & L ""Above"" (WB)",41.871645,-87.66986,2022-03-02 14:05:59,39.832611083984375,27.52,18.59,22.27,0.29581454396247864,3.8796234130859375,63.45977783203125,4.092031002044678,80.21484375,-71.0,2022-03-02,14:05:59
2143,Chicago,87th & Western (WB),41.735659,-87.682248,2022-03-02 11:58:12,35.048500061035156,27.29,17.41,21.74,0.3674379885196686,1.1078643798828125,75.360107421875,4.079218864440918,79.33984375,-96.0,2022-03-02,11:58:12
2144,Chicago,EPA Village Garage D,41.670992,-87.732457,2022-03-03 03:22:01,32.143280029296875,22.67,22.73,14.49,0.16142980754375458,4.768829345703125,73.04534912109375,4.160624980926514,87.30859375,-89.0,2022-03-03,03:22:01
2150,Chicago,Central & Madison (NB),41.8803,-87.7647,2022-03-04 19:09:07,34.694828033447266,28.91,23.86,20.97,0.26840823888778687,8.69415283203125,39.5965576171875,4.162812232971191,87.54296875,-85.0,2022-03-04,19:09:07
2162,Chicago,Western & 26th ST (SB),41.8454,-87.6854,2022-03-01 21:43:50,35.091068267822266,27.95,20.16,28.13,0.2927423119544983,9.802322387695312,51.52435302734375,4.091562271118164,80.96484375,-78.0,2022-03-01,21:43:50
2172,Chicago,26th ST & Kostner (WB),41.84419,-87.7347,2022-03-03 00:19:35,32.27178955078125,25.9,22.3,23.43,0.29351362586021423,8.120040893554688,59.0850830078125,4.125937461853027,84.08984375,-81.0,2022-03-03,00:19:35
2174,Chicago,26th & Keeler (EB),41.844104,-87.729633,2022-03-02 15:40:00,42.091163635253906,29.65,21.45,32.01,0.38492152094841003,7.7194976806640625,58.94622802734375,3.7768750190734863,32.3984375,-69.0,2022-03-02,15:40:00
2175,Chicago,South Shore & 77th (NB),41.7577,-87.554,2022-03-04 20:04:48,88.4524154663086,29.63,24.13,28.63,0.4180559515953064,9.650115966796875,42.1142578125,4.079531192779541,77.83984375,-91.0,2022-03-04,20:04:48
2176,Chicago,Ave O & 114th (NB),41.688054,-87.539967,2022-03-03 03:59:34,33.43124008178711,22.72,38.89,3.62,-0.12913928925991058,3.273468017578125,75.80108642578125,4.181718826293945,89.265625,-88.0,2022-03-03,03:59:34
2177,Chicago,Vincennes & 75th (NB),41.75841,-87.63108,2022-02-28 23:22:16,88.74449920654297,24.54,35.49,6.13,0.05843241140246391,13.751678466796875,38.0950927734375,4.177343845367432,89.16015625,-78.0,2022-02-28,23:22:16
2179,Chicago,Kedzie & 53rd (SB),41.7968,-87.7038,2022-03-05 23:56:04,36.11080551147461,26.14,32.57,10.85,0.19650259613990784,19.871978759765625,57.13958740234375,4.15359354019165,86.83984375,-78.0,2022-03-05,23:56:04
2182,Chicago,63rd & King Drive (EB),41.78,-87.6168,2022-03-01 19:10:56,119.00862884521484,30.51,16.13,31.71,0.48546430468559265,12.47528076171875,56.34307861328125,3.9596874713897705,65.26953125,-95.0,2022-03-01,19:10:56
2183,Chicago,Ashland & Belmont/Lincoln (NB),41.939311,-87.668496,2022-03-04 17:26:20,202.78517150878906,30.66,30.23,30.21,0.5455353856086731,5.8396148681640625,49.44610595703125,4.190000057220459,89.47265625,-87.0,2022-03-04,17:26:20
2185,Chicago,Cicero & Hubbard (NB),41.8879,-87.7455,2022-02-28 07:24:51,250.4424285888672,30.21,10.27,26.84,0.8188033699989319,-2.120513916015625,67.03643798828125,4.029687404632568,74.28515625,-81.0,2022-02-28,07:24:51
2191,Chicago,Belmont & Western (WB),41.939568,-87.688703,2022-03-01 03:48:22,39.33848571777344,27.24,13.93,25.95,0.2128824144601822,8.3203125,56.0394287109375,4.18093729019165,89.265625,-85.0,2022-03-01,03:48:22
2197,Chicago,EPA Cicero B,41.855243,-87.75247,2022-03-05 16:10:24,4.778116226196289,13.37,17.92,10.68,0.6159027218818665,18.65966796875,55.56488037109375,4.217812538146973,92.29296875,-110.0,2022-03-05,16:10:24
2207,Chicago,State & 83rd (NB),41.7435,-87.6242,2022-02-28 02:25:00,100.87256622314453,30.66,14.26,35.95,0.7783768773078918,-0.70526123046875,59.23004150390625,4.115781307220459,83.08984375,-85.0,2022-02-28,02:25:00
2212,Chicago,EPA Springfield Pump Station E,41.912739,-87.722673,2022-03-02 00:31:18,29.490680694580078,22.88,25.22,20.48,0.19158214330673218,2.493743896484375,69.9798583984375,4.154218673706055,86.95703125,-86.0,2022-03-02,00:31:18
2213,Chicago,EPA Cicero C,41.855243,-87.75247,2022-03-05 02:40:47,8.042784690856934,17.04,13.64,24.76,0.7345778942108154,20.069580078125,56.00738525390625,4.200781345367432,90.9375,-109.0,2022-03-05,02:40:47
2214,Chicago,EPA COM ED Maintenance Bldg F,41.7512,-87.71349,2022-03-05 13:04:56,9.410823822021484,12.91,16.35,15.36,0.2825639545917511,19.0228271484375,55.02166748046875,4.188906192779541,89.78515625,-110.0,2022-03-05,13:04:56
