ID,Latitude,Longitude
147,41.84569,-87.6225
170,41.85795,-87.6408
531,41.88766,-87.7655
315,41.91292,-87.6642
178,41.85659,-87.6275
431,41.78414,-87.6133
455,41.99024,-87.6934
261,41.87151,-87.6699
439,41.85353,-87.7051
566,41.76873,-87.6641
265,41.82299,-87.6071
533,41.87568,-87.7155
375,41.88973,-87.701
590,41.95373,-87.7406
499,41.93059,-87.7238
482,41.96153,-87.6912
55,41.86732,-87.6486
212,41.89215,-87.6369
218,41.8568,-87.6339
227,41.94815,-87.6639
22,41.86948,-87.6555
37,41.87936,-87.6298
368,41.83921,-87.6656
243,41.96239,-87.6841
477,41.96632,-87.7011
446,41.84152,-87.6851
495,41.96111,-87.729
498,41.93843,-87.698
237,41.84205,-87.617
560,41.78683,-87.6662
467,42.00859,-87.6905
557,41.79409,-87.6755
559,41.79423,-87.6551
562,41.78319,-87.6544
472,41.97491,-87.6925
246,41.95606,-87.6689
558,41.79282,-87.6644
438,41.8542,-87.7154
247,41.79521,-87.5807
370,41.85418,-87.6192
253,41.96881,-87.6577
414,41.87026,-87.6395
256,41.95283,-87.65
288,41.91808,-87.6437
443,41.84457,-87.7159
441,41.84819,-87.7054
445,41.84404,-87.6953
262,41.82706,-87.6457
518,41.8855,-87.7169
483,41.95339,-87.732
493,41.94292,-87.6858
241,41.87174,-87.651
552,41.80887,-87.6645
485,41.95359,-87.7093
561,41.78602,-87.6742
616,41.87299,-87.7939
615,41.87981,-87.7794
295,41.97382,-87.6597
546,41.82319,-87.6766
88,41.88407,-87.6569
225,41.91994,-87.6488
30,41.89964,-87.6677
60,41.91058,-87.6494
613,41.8799,-87.8039
593,41.78754,-87.6449
226,41.93974,-87.6589
565,41.77407,-87.6638
611,41.88692,-87.7939
601,42.0636,-87.6987
600,42.04831,-87.6982
224,41.91378,-87.6488
609,41.88891,-87.8003
307,41.92077,-87.6637
599,42.03974,-87.6994
320,41.87219,-87.6615
317,41.86915,-87.671
605,42.05294,-87.6734
608,41.89025,-87.7783
598,42.02578,-87.6841
610,41.88681,-87.8029
324,41.93132,-87.6387
573,41.75079,-87.6244
120,41.85361,-87.6319
100,41.88824,-87.6364
112,41.88367,-87.6487
525,42.0127,-87.6661
517,42.01596,-87.675
574,41.75095,-87.6138
432,42.00907,-87.6742
522,42.01954,-87.6696
331,41.90854,-87.6486
520,42.01596,-87.6686
527,42.0189,-87.69
564,41.77539,-87.6543
554,41.80091,-87.6747
526,42.01234,-87.6882
382,41.87475,-87.6864
328,41.78875,-87.6013
602,42.06431,-87.6862
207,41.84358,-87.6454
606,41.89436,-87.8002
183,41.89911,-87.6772
142,41.8945,-87.6179
15,41.85817,-87.6565
194,41.88688,-87.626
306,41.95849,-87.655
297,41.96151,-87.6714
299,41.94367,-87.649
202,41.8575,-87.6463
234,41.96159,-87.666
332,41.93367,-87.649
334,41.94078,-87.6392
351,41.80304,-87.6066
471,41.97563,-87.7014
311,41.96889,-87.684
318,41.95418,-87.6644
449,42.00445,-87.6724
116,41.91552,-87.687
344,41.96909,-87.6742
354,42.01059,-87.6624
38,41.88602,-87.6309
39,41.87947,-87.6257
146,41.87795,-87.662
340,41.92955,-87.6431
346,41.88283,-87.6612
152,41.93223,-87.6586
185,41.91774,-87.6914
417,41.80241,-87.5869
162,41.93588,-87.6784
273,41.85781,-87.6246
424,41.79173,-87.5839
423,41.79148,-87.5999
208,41.85381,-87.6659
420,41.7943,-87.6014
433,41.8736,-87.7049
17,41.90312,-87.6739
402,41.83846,-87.6354
437,41.86148,-87.6934
413,41.81409,-87.597
450,42.00179,-87.6888
496,41.93941,-87.7236
460,41.98359,-87.6692
442,41.84911,-87.6951
458,41.98974,-87.6601
453,41.99925,-87.6714
457,41.99089,-87.6696
461,41.98404,-87.6603
464,41.97561,-87.6795
40,41.87934,-87.632
42,41.85262,-87.6265
451,42.00104,-87.6612
367,41.8307,-87.656
9,41.82879,-87.6806
497,41.9394,-87.7116
567,41.76894,-87.6529
515,42.01916,-87.6736
592,41.96063,-87.7454
548,41.82361,-87.6509
508,41.90966,-87.7166
58,41.91602,-87.6689
7,41.88635,-87.6175
591,41.94882,-87.74
87,41.92556,-87.6584
325,41.97335,-87.6677
74,41.89388,-87.6417
156,41.9365,-87.6475
71,41.88548,-87.6523
182,41.90322,-87.6343
172,41.90231,-87.6277
258,41.93058,-87.6851
293,41.96522,-87.6581
75,41.87725,-87.6394
21,41.87773,-87.6548
349,41.92914,-87.6491
48,41.89776,-87.6429
341,41.8661,-87.6073
76,41.88096,-87.6167
36,41.87771,-87.6353
81,41.88424,-87.6296
84,41.89158,-87.6484
614,41.88011,-87.7892
486,41.95434,-87.6861
13,41.93242,-87.6527
91,41.88338,-87.6412
