OBJECTID,POINT_X,POINT_Y
727,-87.7031,41.78071
728,-87.7421,41.77643
729,-87.743,41.80937
730,-87.5863,41.77876
731,-87.7267,41.92623
732,-87.742,41.77469
733,-87.7019,41.8918
734,-87.8009,41.78086
735,-87.6386,41.91276
736,-87.5352,41.69536
737,-87.6145,41.74021
738,-87.6775,41.91588
739,-87.7533,42.02977
740,-87.728,41.97352
741,-87.7282,41.97757
742,-87.7434,41.82233
743,-87.7259,41.89274
744,-87.7848,41.8963
745,-87.7215,41.74396
746,-87.7763,41.94385
747,-87.6263,41.82171
748,-87.8069,41.9778
749,-87.6144,41.73837
750,-87.7469,41.94462
751,-87.6787,42.04783
752,-87.7769,41.95843
753,-87.7683,41.98103
754,-87.7243,41.83864
755,-87.7021,42.05909
756,-87.8315,41.96658
757,-87.647,41.76875
758,-87.7617,41.7743
759,-87.7121,41.92109
760,-87.6631,41.98558
761,-87.6653,41.82343
762,-87.7433,41.79873
763,-87.6553,41.80854
764,-87.6602,41.98387
765,-87.6444,41.93658
766,-87.6253,41.76911
767,-87.721,41.87721
768,-87.7568,41.94602
769,-87.7151,41.94659
770,-87.6382,41.8456
771,-87.6242,41.87814
772,-87.7466,41.93511
773,-87.6933,41.77928
774,-87.6632,41.74692
775,-87.6832,41.76822
776,-87.6943,41.81731
777,-87.6548,41.79447
778,-87.7674,41.96769
779,-87.6057,41.77487
780,-87.7453,41.88436
781,-87.7156,41.87347
782,-87.6356,41.89151
783,-87.6643,41.95427
784,-87.5906,41.7368
785,-87.7345,41.9754
786,-87.6891,41.96854
787,-87.7132,41.96107
788,-87.6982,41.78628
789,-87.6613,41.86681
790,-87.6451,41.78695
791,-87.7521,41.79282
792,-87.7806,41.92369
793,-87.6174,41.82375
794,-87.6276,41.67792
795,-87.6679,41.91056
796,-87.6774,41.72089
797,-87.7769,41.96759
798,-87.7723,41.96035
799,-87.641,41.83075
800,-87.6777,41.69175
801,-87.69,42.00866
802,-87.6412,41.87814
803,-87.6808,41.86893
804,-87.7382,41.97548
805,-87.7815,41.94566
806,-87.6644,41.79415
807,-87.7131,41.96104
808,-87.684,41.78629
809,-87.62,41.70729
810,-87.8065,41.93807
811,-87.7362,41.91711
812,-87.7063,41.8774
813,-87.5917,41.75148
814,-87.7389,41.92442
815,-87.7706,41.89485
816,-87.7427,41.79319
817,-87.6287,41.70716
818,-87.697,41.91755
819,-87.6962,41.86661
820,-87.6046,41.8169
319,-87.5864,41.78047
320,-87.6728,41.74281
321,-87.6427,41.69935
322,-87.6652,41.81592
323,-87.6848,41.96308
324,-87.6684,41.92885
325,-87.6156,41.77639
326,-87.816,42.00273
327,-87.6994,41.81691
328,-87.6338,41.87819
329,-87.5597,41.70285
330,-87.6357,41.74399
331,-87.6323,41.74348
332,-87.6321,41.74144
333,-87.6321,41.7391
334,-87.6318,41.73934
335,-87.6319,41.74122
336,-87.6325,41.7436
337,-87.6742,41.78673
338,-87.7399,41.79294
339,-87.6266,41.75805
340,-87.6066,41.80219
341,-87.6248,41.73616
342,-87.6039,41.81678
343,-87.7753,41.9019
344,-87.7855,41.9273
345,-87.6649,41.98666
346,-87.7091,42.01197
347,-87.54,41.65189
348,-87.6324,41.88938
349,-87.6667,41.87148
350,-87.7461,41.91417
351,-87.6901,42.01559
352,-87.6679,41.9163
353,-87.6394,41.87683
354,-87.7961,41.95281
355,-87.7853,41.92379
356,-87.6349,41.90392
357,-87.7011,41.88109
358,-87.761,41.90938
359,-87.698,41.96119
360,-87.7551,41.96784
361,-87.701,41.6915
362,-87.652,41.68489
363,-87.6694,41.89595
364,-87.7657,41.92387
365,-87.771,41.92382
366,-87.785,41.92245
367,-87.7215,41.7494
368,-87.7624,41.96048
369,-87.6162,41.79441
370,-87.6916,41.89562
371,-87.7095,41.99787
372,-87.7285,41.98266
373,-87.6677,41.90403
374,-87.7189,41.91009
375,-87.6345,41.91119
376,-87.6812,41.85216
377,-87.744,41.93163
378,-87.673,41.74297
379,-87.7003,41.92461
380,-87.665,41.80504
381,-87.755,41.79696
382,-87.6363,41.91837
383,-87.664,41.9397
384,-87.7371,41.93889
385,-87.5858,41.73684
386,-87.54,41.68471
387,-87.6777,41.9213
388,-87.6296,41.82395
389,-87.6457,41.80879
390,-87.7101,41.77889
391,-87.7228,41.96107
392,-87.7273,41.94644
393,-87.6384,41.91122
394,-87.63,41.78005
395,-87.5517,41.73744
396,-87.6478,41.87444
397,-87.7226,41.95381
398,-87.6629,41.9171
399,-87.6696,41.96166
400,-87.7044,41.82814
401,-87.6862,41.88124
402,-87.7068,41.91747
403,-87.6234,41.70723
404,-87.667,41.70666
405,-87.8074,41.98129
406,-87.6275,41.86759
407,-87.624,41.85534
408,-87.6637,41.75593
409,-87.6837,41.96128
410,-87.7043,41.81382
411,-87.6273,41.85754
412,-87.7858,41.93083
413,-87.6544,41.77244
414,-87.6686,41.93596
415,-87.6602,41.98551
416,-87.6754,41.83192
417,-87.6265,41.88754
418,-87.6178,41.84545
419,-87.5901,41.73691
420,-87.6299,41.77258
421,-87.6575,41.96559
422,-87.6315,41.75821
423,-87.615,41.75092
424,-87.6876,41.93939
425,-87.6472,41.94701
426,-87.6835,41.76845
427,-87.7665,41.94582
428,-87.631,41.79412
429,-87.6413,41.88331
430,-87.7011,41.85921
431,-87.6647,41.80507
432,-87.7216,41.90419
433,-87.6536,41.86694
434,-87.6749,41.9541
435,-87.5963,41.78046
436,-87.7629,41.9751
437,-87.7027,41.8445
438,-87.7412,41.96071
439,-87.772,41.95302
440,-87.6659,41.86673
441,-87.6547,41.95442
442,-87.6398,41.94005
443,-87.7024,41.9247
444,-87.7085,41.808
445,-87.7175,41.93915
446,-87.8256,41.94502
447,-87.6626,41.73568
448,-87.7046,41.82252
449,-87.5402,41.70268
450,-87.7232,41.9682
451,-87.7142,41.73487
452,-87.6763,42.01919
453,-87.7451,41.87161
454,-87.7748,41.89493
455,-87.609,41.82783
456,-87.689,41.91771
457,-87.5766,41.77315
458,-87.6477,41.89146
459,-87.6947,41.98305
460,-87.7477,41.79806
461,-87.6646,41.79046
462,-87.6692,41.95409
463,-87.7741,41.87632
464,-87.6319,41.91131
465,-87.6067,41.80965
466,-87.7477,41.95358
467,-87.7551,41.88227
468,-87.6259,41.80581
469,-87.6555,41.99659
470,-87.7023,41.74964
471,-87.6068,41.82405
472,-87.6997,41.89571
473,-87.6497,41.78702
474,-87.7079,41.86645
475,-87.5856,41.75882
476,-87.7385,41.77854
477,-87.7173,41.90262
478,-87.6668,41.96503
479,-87.6257,41.79839
480,-87.6686,41.94317
481,-87.6044,41.7224
482,-87.7767,41.95294
483,-87.6172,41.84551
484,-87.6775,41.91766
485,-87.7866,41.95646
486,-87.6634,41.7557
487,-87.7058,41.87358
488,-87.7758,41.93109
489,-87.6662,41.86316
490,-87.6476,41.89672
491,-87.7878,41.97647
492,-87.6369,41.89174
493,-87.6786,41.95042
494,-87.6603,41.99623
495,-87.6753,41.83394
496,-87.6606,42.00038
497,-87.7257,41.88538
498,-87.6897,41.994
499,-87.7271,41.94088
500,-87.6553,41.99027
501,-87.7252,41.86992
502,-87.721,41.88087
503,-87.6385,41.82363
504,-87.6214,41.82032
505,-87.7248,41.84432
506,-87.6675,41.91079
507,-87.7277,41.95985
508,-87.8202,42.00525
509,-87.6791,41.96863
510,-87.6266,41.76532
511,-87.736,41.94639
512,-87.6674,41.90373
513,-87.6652,41.98665
514,-87.6331,41.90557
515,-87.7025,41.75338
516,-87.6258,41.90806
517,-87.7859,41.93473
518,-87.6638,41.98583
519,-87.6754,41.84857
520,-87.765,41.88787
521,-87.6678,41.91783
522,-87.7127,41.94925
523,-87.6764,41.86923
524,-87.7169,41.93476
525,-87.7331,41.80028
526,-87.586,41.75121
527,-87.6613,41.85253
528,-87.7454,41.88023
529,-87.7246,41.84438
530,-87.6451,41.95206
531,-87.6913,41.97293
532,-87.7328,41.9537
533,-87.7533,41.91691
534,-87.6871,41.91048
535,-87.6466,41.85274
536,-87.7816,41.95305
537,-87.7927,41.9237
538,-87.6423,41.67788
539,-87.7459,41.91701
540,-87.7306,41.87439
541,-87.6112,41.80221
542,-87.7362,41.89526
